Antecedent,Consequent,Support,Confidence,Lift,Leverage,Conviction
Winter Storm,Winter Weather,0.03932875097063645,0.6191985510527508,8.68151323332871,0.03479857864772255,2.4387412344351502
Winter Weather,Winter Storm,0.03932875097063645,0.5514112903225806,8.681513233328708,0.03479857864772255,2.0876237107055826
Strong Wind,High Wind,0.019355209801271173,0.5375399361022364,7.805721911969456,0.016875591641727018,2.013439027589793
Winter Weather,Heavy Snow,0.023496591987575855,0.32943548387096777,6.424453847267202,0.01983922397681947,1.4148103769681237
Heavy Snow,Winter Weather,0.023496591987575855,0.45821648906337636,6.424453847267202,0.01983922397681947,1.7141093756707972
"Funnel Cloud, Thunderstorm Wind","Hail, Tornado",0.012395386960398033,0.323695080736012,3.0756118738275373,0.008365168757028887,1.3230042008335938
"Funnel Cloud, Hail, Thunderstorm Wind",Tornado,0.012395386960398033,0.47207009857612264,2.9798219837687867,0.008235612642362857,1.5941088945800803
"Funnel Cloud, Hail","Thunderstorm Wind, Tornado",0.012395386960398033,0.3408461842625544,2.7408794340872524,0.007872974625786951,1.3284357537051448
"Funnel Cloud, Hail",Tornado,0.015558942797158552,0.427837089758798,2.700612407734077,0.009797678147481136,1.4708708595246256
"Funnel Cloud, Thunderstorm Wind",Tornado,0.01634983175634868,0.4269620728501689,2.695089086879046,0.010283304369203184,1.468624870539402
Funnel Cloud,Tornado,0.02286388082022375,0.40519877675840976,2.557713836192551,0.0139246943886958,1.4148890733413382
"Flood, Hail","Flash Flood, Thunderstorm Wind",0.013890886083230278,0.399338569656883,2.5569287184494023,0.008458241057578517,1.4048196831563147
Flood,Flash Flood,0.06255212677231026,0.5571209016393442,2.218720750303704,0.034359247265617954,1.6909805590935814
"Hail, Heavy Rain","Flash Flood, Thunderstorm Wind",0.010137758476891662,0.3244362632305568,2.0773360296086345,0.00525758582672991,1.249062011963523
"Flood, Hail, Thunderstorm Wind",Flash Flood,0.013890886083230278,0.5116525423728814,2.0376440901211152,0.007073755382841566,1.5335391505787075
"Flood, Hail",Flash Flood,0.017083201518506803,0.4911120297643655,1.955841986821298,0.008348752808633765,1.4716401038326643
"Flood, Heavy Rain",Flash Flood,0.011877714187109948,0.4902077151335312,1.9522405752958436,0.0057935694677482006,1.4690295784937664
"Flood, Thunderstorm Wind",Flash Flood,0.02457507693192603,0.485097927902356,1.9318909690863382,0.01185433993114773,1.4544512169194463
Heavy Rain,Flash Flood,0.04142820166230479,0.4825795644891122,1.9218616466442469,0.019871914437029042,1.4473721831595578
"Hail, Heavy Rain, Thunderstorm Wind",Flash Flood,0.010137758476891662,0.4433962264150943,1.7658149339914377,0.004396636753577015,1.3454812577596078
"Heavy Rain, Thunderstorm Wind",Flash Flood,0.017342037905150844,0.43396905361640875,1.7282714423658398,0.007307712578678264,1.323072440016811
"Hail, Heavy Rain",Flash Flood,0.013243795116620173,0.42383801196502535,1.6879248097624435,0.005397595428090155,1.2998079722525926
"Lightning, Tornado",Thunderstorm Wind,0.010813609042017773,0.8909952606635071,1.323513166803264,0.0026432263716765873,2.9979918297731865
"Flash Flood, Hail, Lightning",Thunderstorm Wind,0.012898679934428116,0.8820058997050148,1.310160079402045,0.0030535624276307374,2.7695903195191396
Hail,Thunderstorm Wind,0.5107848494435018,0.8711679011134548,1.2940609658926836,0.11607017764197153,2.5365985710218912
Thunderstorm Wind,Hail,0.5107848494435018,0.7587363294600137,1.2940609658926834,0.11607017764197153,1.7146305704805653
"Funnel Cloud, Thunderstorm Wind, Tornado",Hail,0.012395386960398033,0.7581354441512753,1.293036127364693,0.0028091219689775817,1.710370763515051
"Flash Flood, Hail, Tornado",Thunderstorm Wind,0.024244341548991976,0.8690721649484536,1.2909478916363073,0.005464078065032376,2.495995735427093
"Flash Flood, Thunderstorm Wind, Tornado",Hail,0.024244341548991976,0.714406779661017,1.2184548062781784,0.004346729077793852,1.4484869933648963
"Hail, Lightning",Thunderstorm Wind,0.04598659802709154,0.8156082631981637,1.2115308834442649,0.008029168583480413,1.772288301012994
"Flash Flood, Flood, Hail",Thunderstorm Wind,0.013890886083230278,0.8131313131313131,1.2078515417331208,0.0023903948363519258,1.7487965662593947
Lightning,Thunderstorm Wind,0.08301458111644762,0.8048236442213859,1.1955110617405078,0.01357600896673515,1.6743591539747829
"Flood, Tornado",Thunderstorm Wind,0.0115757384026919,0.7986111111111112,1.1862827642021723,0.0018177458295829934,1.622707785620003
"Funnel Cloud, Hail, Tornado",Thunderstorm Wind,0.012395386960398033,0.7966728280961183,1.183403575945409,0.0019210338214061332,1.6072387909464783
"Flash Flood, Tornado",Thunderstorm Wind,0.03393632624888557,0.7900903916973553,1.1736258121030734,0.005020528812500348,1.5568383009232847
"Funnel Cloud, Thunderstorm Wind",Hail,0.026257513445112308,0.6856928276380022,1.1694817927993808,0.0038052498812137445,1.3161585271677014
Tornado,Thunderstorm Wind,0.1243565039832044,0.7849686847599165,1.1660178630291806,0.017705904600326616,1.519756866912585
"Funnel Cloud, Tornado",Hail,0.015558942797158552,0.680503144654088,1.1606305411667874,0.0021533479542750703,1.2947797705436945
"Hail, Tornado",Thunderstorm Wind,0.08219493255874148,0.7809810083344719,1.1600944395419481,0.011343000373638223,1.4920866699834994
"Flood, Hail",Thunderstorm Wind,0.02714906099910845,0.7804878048780488,1.1593618191821016,0.0037318149332846023,1.488734226159092
"Flash Flood, Hail, Heavy Rain",Thunderstorm Wind,0.010137758476891662,0.765472312703583,1.1370573216428692,0.0012219735961046547,1.3934189250940274
Tornado,Hail,0.10524575076931926,0.6643369338295362,1.1330582982384267,0.012359311534069384,1.2324205631969314
"Thunderstorm Wind, Tornado",Hail,0.08219493255874148,0.6609620721554117,1.1273023108312072,0.009281986520215474,1.2201527648665842
"Flash Flood, Tornado",Hail,0.027896810560524576,0.6494810847003682,1.107720939624099,0.002712840877698814,1.1801875647726179
"Flash Flood, Tornado","Hail, Thunderstorm Wind",0.024244341548991976,0.564445932373619,1.105056136626959,0.0023048755386997806,1.123201886788824
Funnel Cloud,Hail,0.03636651232348796,0.6444954128440367,1.099217638691323,0.0032825159942585364,1.1636363636363636
"Flash Flood, Hail",Thunderstorm Wind,0.0877886744701044,0.7392831193993703,1.098155047190512,0.007846707536837194,1.2534490178944413
"Flash Flood, Lightning",Thunderstorm Wind,0.020217997756751316,0.7342036553524804,1.090609847071988,0.0016797479774819171,1.2294951549116848
"Flash Flood, Lightning, Thunderstorm Wind",Hail,0.012898679934428116,0.6379800853485065,1.0881054371733418,0.0010444243689600816,1.1426942229198862
"Hail, Heavy Rain",Thunderstorm Wind,0.02286388082022375,0.7317073170731707,1.0869017054832202,0.0018280496085514748,1.2180552759483478
"Funnel Cloud, Hail",Thunderstorm Wind,0.026257513445112308,0.7220245156188217,1.0725185591499509,0.0017754070786515745,1.175626399805957
"Funnel Cloud, Tornado",Thunderstorm Wind,0.01634983175634868,0.7150943396226415,1.0622242516669032,0.0009577601380518948,1.1470299238861035
"Funnel Cloud, Tornado","Hail, Thunderstorm Wind",0.012395386960398033,0.5421383647798742,1.0613830174691594,0.0007168630379458772,1.0684781447593847
Tornado,"Hail, Thunderstorm Wind",0.08219493255874148,0.5188345284560225,1.015759431825926,0.0012752482482663863,1.0167295441767479
Funnel Cloud,Thunderstorm Wind,0.03829340542406028,0.678644240570846,1.008080096073517,0.00030693433588632746,1.0169269053023051
